,ngram,count
591,SCONJ VERB VERB,397
592,ADV SCONJ PRON,67
593,SCONJ PRON NOUN,101
594,ADP NOUN SCONJ,5
595,NOUN SCONJ PRON,17
596,PUNCT PRON VERB,3508
597,PRON VERB PUNCT,2720
598,ADJ PART ADV,35
599,PART ADV ADJ,311
600,NOUN NOUN DET,1059
601,NOUN PART ADP,1901
602,PART ADP DET,285
603,NUM NOUN _,1127
604,NUM NUM ADV,1226
605,NUM ADV VERB,1314
606,NUM ADJ PART,767
607,ADJ PART PUNCT,245
608,ADP VERB NUM,426
609,NUM X NOUN,32
610,X NOUN PUNCT,128
611,ADV VERB NUM,5501
612,DET NOUN PROPN,197
613,PROPN PART ADJ,1055
614,CCONJ ADV ADV,249
615,ADP ADJ CCONJ,59
616,NUM PUNCT PROPN,2441
617,ADV NOUN DET,87
618,NOUN X NOUN,614
619,X NOUN NOUN,1153
620,NOUN ADV NOUN,1159
621,ADV NOUN VERB,2090
622,ADV ADJ PART,714
623,PUNCT PUNCT ADV,1649
624,ADV PUNCT ADJ,53
625,X NOUN CCONJ,145
626,PUNCT NOUN DET,158
627,CCONJ ADP ADJ,379
628,VERB PART CCONJ,180
629,PART CCONJ ADJ,101
630,ADP NOUN DET,546
631,NOUN CCONJ NUM,1010
632,CCONJ NUM NUM,2069
633,NOUN DET NUM,756
634,ADP PROPN ADP,548
635,PROPN ADP PROPN,1862
636,PART PUNCT NUM,557
637,PUNCT NUM PART,215
638,CCONJ PROPN DET,301
639,PROPN DET ADP,28
640,DET ADP ADJ,69
641,PUNCT ADV X,500
642,ADV X DET,179
643,X DET NUM,133
644,VERB PART ADP,1859
645,PART ADP NOUN,1810
646,DET DET ADJ,184
647,PROPN PUNCT CCONJ,329
648,PUNCT CCONJ PROPN,591
649,ADP PROPN ADJ,717
650,PUNCT ADV NUM,655
651,ADV NUM NUM,1838
652,PUNCT PART NUM,285
653,DET NUM ADJ,586
654,NOUN ADV NUM,654
655,PROPN VERB PUNCT,4832
656,DET NOUN DET,172
657,PART DET NUM,771
658,DET NUM NUM,2353
659,NUM VERB NUM,335
660,PUNCT VERB X,1049
661,VERB X NOUN,1504
662,X NOUN VERB,2093
663,NUM NOUN ADJ,1076
664,PUNCT PUNCT ADP,1140
665,ADP NOUN ADP,1331
666,NOUN ADP NUM,1061
667,ADP NUM PUNCT,344
668,VERB DET ADV,604
669,DET ADV VERB,853
670,NOUN CCONJ PUNCT,695
671,CCONJ PUNCT PROPN,408
672,PUNCT NOUN X,141
673,NOUN X PART,11
674,X PART NOUN,20
675,DET ADP DET,68
676,ADV VERB SCONJ,100
677,SCONJ NOUN CCONJ,49
678,PART ADJ PROPN,232
679,ADJ PROPN NOUN,866
680,PROPN NOUN ADV,4022
681,ADV NUM PART,580
682,ADP VERB ADP,600
683,VERB NOUN PROPN,1756
684,VERB PART X,196
685,PART X PRON,33
686,X PRON VERB,507
687,ADP PRON ADP,490
688,ADV VERB _,312
689,PUNCT PUNCT _,7095
690,ADV NOUN CCONJ,662
691,ADJ VERB ADV,40
692,NOUN PROPN VERB,2925
693,PROPN VERB PROPN,1965
694,VERB PROPN PUNCT,3868
695,NUM PUNCT ADJ,422
696,PUNCT ADJ NUM,58
697,ADJ NUM NUM,386
698,PART ADV NOUN,207
699,ADV NOUN PUNCT,1321
700,PART DET ADV,89
701,PUNCT PART ADP,105
702,PART ADP VERB,549
703,CCONJ ADV NUM,86
704,VERB CCONJ PUNCT,52
705,CCONJ PUNCT CCONJ,227
706,CCONJ PUNCT VERB,184
707,ADP DET VERB,419
708,DET VERB ADV,92
709,NOUN CCONJ PRON,470
710,CCONJ PRON NOUN,184
711,PRON NOUN ADV,661
712,VERB CCONJ ADP,499
713,PUNCT ADP ADP,654
714,NOUN PART PRON,240
715,PART PRON PART,405
716,NOUN NOUN X,651
717,ADV ADP ADP,330
718,CCONJ ADV NOUN,289
719,PART ADP X,17
720,ADP X ADJ,13
